No,Wolof,Français,Traduction,Score_Final
105,Sama yaram nangu wu ko,Je suis allergique,"Traduction : ""Mon corps est fatigué""

Note : La phrase est en wolof, et se décompose ainsi :
- ""Sama"" = Mon
- ""yaram"" = corps
- ""nangu"" = fatigué
- ""wu"" = particule
- ""ko"" = le/la",0.314
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,"Traduction : ""Donne-moi de l'eau à boire""

Explication :
- ""May"" signifie ""donner""
- ""ma"" est un pronom signifiant ""moi""
- ""ndox"" veut dire ""eau""
- ""naan"" signifie ""boire""

La phrase est une demande polie pour obtenir de l'eau à boire.",0.626
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,"Traduction : ""Je veux voir un médecin.""

Note explicative :
- ""Dama"" signifie ""Je""
- ""bëgg"" veut dire ""vouloir""
- ""giss"" signifie ""voir""
- ""doktoor"" est le mot ""docteur""

La phrase exprime donc le désir de la personne de consulter un médecin.",0.535
108,Wootel doctor,Appelez un médecin,"Traduction : ""Il faut consulter un médecin"" ou ""Va voir un médecin""

Explication : ""Wootel"" en wolof signifie littéralement ""chercher/consulter"" et ""doctor"" est un mot emprunté à l'anglais signifiant ""médecin"". Cette expression est utilisée pour conseiller à quelqu'un d'aller consulter un professionnel de santé.",0.525
109,Ana hoppital ?,Où est l’hôpital ?,Où est l'hôpital ?,1.000
110,Dama feebar,Je ne me sens pas très bien,"Traduction : ""Je suis malade"" ou ""Je ne me sens pas bien""

Explication :
- ""Dama"" signifie ""Je""
- ""Feebar"" veut dire ""malade""",0.697
111,Fi moy meeti,J’ai mal ici,"Traduction : ""C'est ici qu'on se rencontre"" ou ""Rendez-vous ici""

Explication : 
- ""Fi"" signifie ""ici""
- ""Moy"" est une forme verbale qui signifie ""se passer"" ou ""avoir lieu""
- ""Meeti"" signifie ""rencontre""

La phrase indique un lieu de rendez-vous ou un endroit où les gens se retrouvent.",0.461
112,Ana wanak wi ?,Où sont les toilettes ?,Traduction : Quelle heure est-il ?,0.393
113,Wollu !,A l’aide !,"Bonjour !

(La réponse ""Wollu"" est un salut en Wolof, et ""Bonjour"" est sa traduction standard en français.)",0.374
114,Dema reer,Je suis perdu(e),"Traduction : ""Je vais bien"" ou ""Tout va bien pour moi""

Cette expression est une salutation courante en Wolof qui indique que la personne se porte bien ou que tout se passe bien pour elle. Elle peut être utilisée dans divers contextes informels pour répondre à la question ""Comment allez-vous ?""",0.421
115,sama Dom leuh,c'est mon fils,"Traduction : Mon patron (ou mon chef)

Explication :
- ""sama"" signifie ""mon"" ou ""ma""
- ""Dom"" signifie ""patron"" ou ""chef""
- ""leuh"" est une particule courante dans la langue wolof qui n'affecte pas le sens de la phrase.",0.535
116,Yàlla,Dieu,"Traduction : 
1. Dieu
2. Mon Dieu (expression courante)

Note : En wolof, ""Yàlla"" est un mot très utilisé qui signifie ""Dieu"" et qui est aussi employé comme une interjection, un peu comme ""mon Dieu"" en français, pour exprimer la surprise, l'admiration ou la frustration.",0.706
117,Taax,Bâtiment,"Traduction : 
""Attends"" ou ""Patiente""

Cette expression est utilisée pour demander à quelqu'un de patienter ou d'attendre un moment.",0.454
118,Keur,Maison,Traduction : Maison,0.800
119,Xalaat,Penser,"Traduction : 

""Essaie"" ou ""Essaye""

Selon le contexte, cette phrase peut signifier :
- Essaie de faire quelque chose
- Essaye un peu
- Tente ta chance",0.393
120,Mayma ndox,Donne moi de l'eau,"""Mayma ndox"" peut être traduit en français par :

""J'ai soif.""

Explication :
- ""Mayma"" signifie ""moi"" ou ""je""
- ""Ndox"" signifie ""eau"" ou ""boisson""
- Ensemble, l'expression exprime le besoin ou l'envie de boire.",0.564
121,Dama feebar,Je suis malade,"Traduction : 
""Je suis malade"" ou ""Je ne me sens pas bien""

Explication : 
- ""Dama"" = Je 
- ""feebar"" = être malade",0.731
122,Maa ngi dem marse,Je pars au marché,"Traduction : ""Je vais au marché""",0.658
123,Loy def ?,Tu fais quoi ?,"Traduction : ""Comment ça va ?""

Cette expression est une salutation courante en Wolof qui demande à l'autre personne comment elle se porte, équivalent à ""Ça va ?"" en français.",0.554
124,Dama jaxasoo,Je suis confus,"Traduction : ""Je suis fatigué"" ou ""Je suis épuisé""

La phrase ""Dama jaxasoo"" en Wolof exprime un état de fatigue ou d'épuisement, physique ou mental.",0.517
125,Maa ngi ci buro bi,Je suis au bureau,"Traduction : ""Je suis dans la salle de bain""

Explication : 
- ""Maa"" signifie ""Je""
- ""Ngi"" est un marqueur de présence
- ""Ci"" signifie ""dans""
- ""Buro"" signifie ""salle de bain""
- ""Bi"" est un article défini",0.579
126,Dama sedd,J'ai froid,"Traduction : ""Je suis fatigué""

Explication : 
- ""Dama"" signifie ""Je""
- ""Sedd"" veut dire ""fatigué"" ou ""las""",0.293
127,Dama tàng,J'ai chaud,"Traduction : ""J'ai faim""

Note : La phrase ""Dama tàng"" est une expression wolof courante qui signifie littéralement ""J'ai faim"" et exprime le besoin de manger.",0.498
128,Dafa tàng,Il fait chaud,Traduction : Il fait chaud / Il a chaud,0.780
129,Dafa sedd,Il fait froid,"Traduction : ""Il/Elle est fatigué(e)""

Explication : 
- ""Dafa"" est un marqueur verbal qui indique l'état ou l'action en cours
- ""Sedd"" signifie ""fatigué"" en Wolof",0.330
130,Mu ngi taw,Il pleut,"Traduction : ""Il/elle est en train de tomber"" ou ""Il/elle tombe""

Décomposition :
- ""Mu"" : pronom personnel (il/elle)
- ""Ngi"" : particule qui indique une action en cours
- ""Taw"" : verbe tomber",0.360
131,Jamonoy taw la!,C'est la saison des pluies!,"Traduction : Tu es intelligent !

Explication : 
- ""Jamonoy"" signifie ""intelligent"" en Wolof
- ""taw"" est un pronom personnel qui signifie ""tu""
- ""la"" est une particule affirmative

Donc la phrase ""Jamonoy taw la!"" est un compliment signifiant ""Tu es intelligent!"" en français.",0.456
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,"Traduction : 
Le vent de l'après-midi est agréable aujourd'hui.

Explication :
- ""Ginaaw taw"" signifie ""après-midi""
- ""klimaa bi"" désigne le vent
- ""dafay neex"" veut dire ""c'est agréable/bon""

La traduction capture le sens de la phrase qui exprime la qualité plaisante du vent durant l'après-midi.",0.468
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,"Traduction : Les vieilles bâtisses ont été détruites parce que la pluie est tombée.

Explication :
- ""Mbeddi Ndakaar"" signifie ""vieilles bâtisses"" ou ""anciennes constructions""
- ""dañu"" indique une action réalisée
- ""fees"" signifie ""démolir"" ou ""détruire""
- ""ndax"" signifie ""parce que""
- ""taw bi"" signifie ""la pluie""

La traduction capture le sens de la phrase qui explique que des constructions anciennes ont été détruites en raison de la pluie.",0.557
134,Danu wara wut pexe,Nous devons trouver un plan,"Traduction : 
""Il faut que tu paies""

Explication :
- ""Danu"" signifie ""il faut que"" 
- ""wara"" est un indicatif d'obligation
- ""wut"" veut dire ""payer""
- ""pexe"" est la forme conjuguée du verbe ""payer""",0.371
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,"Traduction : 
""Je veux nager dans la mer""

Explication :
- ""Dama"" = Je 
- ""beug"" = vouloir
- ""yengou"" = nager
- ""ci"" = dans
- ""mbay"" = mer
- ""mi"" = la/le (article défini)",0.480
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,"Traduction : ""Il/Elle est allé(e) tôt le matin""

Détails de la traduction :
- ""Warone"" signifie ""tôt"" ou ""de bonne heure""
- ""na"" est un marqueur de l'accompli (action terminée)
- ""dem"" veut dire ""aller""
- ""ci ndadjé bi"" signifie ""le matin""",0.383
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,"Traduction : Aujourd'hui, il/elle a dormi avec X

Note : Cette phrase suggère qu'une personne a passé la nuit ou a eu une relation intime avec quelqu'un nommé X.",0.534
138,Diote nga sama yobanté ?, Tu as eu mon message ?,"Traduction : ""Comment vas-tu mon ami ?""

Explication : Cette phrase est une salutation amicale en Wolof qui demande littéralement à quelqu'un comment il va, avec une touche de familiarité et de convivialité.",0.451
